站点名,经度,纬度,海拔高度,时间,平均气温
﻿马金铺,102.8,24.78,1911,2020年01月01日00:00,10.9
﻿斗南,102.79,24.91,1900,2020年01月01日00:00,12.4
﻿夕阳,102.28,24.47,1818,2020年01月01日00:00,13.1
﻿上蒜,102.77,24.68,1918,2020年01月01日00:00,12.4
﻿崇德,102.5,25.48,1695,2020年01月01日00:00,10.9
﻿阿旺,103.25,25.93,1457.3,2020年01月01日00:00,17.9
﻿雪山乡,102.89,26.02,2632,2020年01月01日00:00,8.3
﻿先锋,103,25.49,2093.5,2020年01月01日00:00,9.4
﻿乌龙,103.1,26.03,1490.2,2020年01月01日00:00,15.4
﻿新街,102.72,24.73,1950,2020年01月01日00:00,12
﻿晋城,102.75,24.7,1930,2020年01月01日00:00,12.6
﻿双河,102.42,24.55,2001,2020年01月01日00:00,9.1
﻿宝峰,102.55,24.55,1947,2020年01月01日00:00,10.8
﻿云龙,102.41,25.88,2070,2020年01月01日00:00,8.4
﻿翠华,102.58,25.63,1710,2020年01月01日00:00,10.8
﻿塘子,103.25,25.43,2073,2020年01月01日00:00,10.5
﻿甸沙,103.1,25.68,2050,2020年01月01日00:00,5.8
﻿北古城镇,103.19,24.98,1520,2020年01月01日00:00,13.5
﻿南羊街,103.13,24.85,1559,2020年01月01日00:00,14
﻿龙城,102.8,24.89,1910,2020年01月01日00:00,12.3
﻿大渔,102.79,24.83,1887,2020年01月01日00:00,11.6
﻿菜子地,102.93,25.38,2713,2020年01月01日00:00,6.7
﻿阿子营,102.77,25.34,2082,2020年01月01日00:00,8.1
﻿海口中滩街,102.61,24.79,1907,2020年01月01日00:00,11.8
﻿碧鸡,102.63,24.99,1902,2020年01月01日00:00,11.1
﻿东村,102.67,25.52,1640,2020年01月01日00:00,11.4
﻿散旦,102.66,25.3,1780,2020年01月01日00:00,10
﻿红土地,103.02,26.02,2511,2020年01月01日00:00,9
﻿汤丹,103.05,26.19,2246.6,2020年01月01日00:00,10.3
﻿大可,103.23,24.6,1692,2020年01月01日00:00,13.2
﻿大箐,103.15,25.19,2046,2020年01月01日00:00,10.7
﻿西山村,102.96,25.36,2016,2020年01月01日00:00,10
﻿岩峰哨,102.86,25.43,2313,2020年01月01日00:00,8.5
﻿麻地箐,103.08,24.99,2202,2020年01月01日00:00,11.7
﻿板桥,103.25,24.68,1676,2020年01月01日00:00,13.1
﻿木杵榔,102.26,24.49,1954,2020年01月01日00:00,12.7
﻿对方村,102.68,25.38,2402,2020年01月01日00:00,8.7
﻿沙营村,102.63,25.33,1807,2020年01月01日00:00,10.2
﻿东核村,102.57,25.33,2254,2020年01月01日00:00,9.1
﻿罗免,102.46,25.34,1739,2020年01月01日00:00,10.7
﻿大营,102.52,25.23,1706,2020年01月01日00:00,12.4
﻿小街,103.12,25.32,1904,2020年01月01日00:00,11.7
﻿四营,103.14,25.28,1897,2020年01月01日00:00,11.7
﻿小新街,103.22,25.31,1890,2020年01月01日00:00,11.3
﻿北大营,103.43,25.6,2040,2020年01月01日00:00,10.6
﻿大哨,102.97,25.43,2543,2020年01月01日00:00,6.7
﻿白邑,102.88,25.3,1984,2020年01月01日00:00,9.2
﻿草甸,103.05,24.87,1884,2020年01月01日00:00,12.8
﻿妥排,102.45,25.13,2242,2020年01月01日00:00,10.7
﻿团结,102.43,25.15,2102,2020年01月01日00:00,9.3
﻿三家村,102.6,25.05,2225,2020年01月01日00:00,8.8
﻿前卫,102.71,25.01,1933,2020年01月01日00:00,13.1
﻿金殿水库,102.78,25.11,1989,2020年01月01日00:00,10
﻿松华,102.74,25.28,2155,2020年01月01日00:00,9.3
﻿茨坝,102.74,25.15,1961,2020年01月01日00:00,10.9
﻿螺丝塘,103.39,24.95,2033,2020年01月01日00:00,11.6
﻿官渡区一中,102.75,24.96,1891,2020年01月01日00:00,12.3
﻿希望,102.52,25.77,1795,2020年01月01日00:00,8.9
﻿汤郎,102.29,26.19,1854,2020年01月01日00:00,12.3
﻿雨花办事处,102.83,24.84,1924,2020年01月01日00:00,11.9
﻿大石头水库,103.02,25.38,1975,2020年01月01日00:00,9
﻿迤六,102.66,25.38,1812,2020年01月01日00:00,10.4
﻿鼓楼,102.72,25.05,1889,2020年01月01日00:00,13
﻿东华,102.74,25.05,1883,2020年01月01日00:00,13
﻿大风丫口,102.48,25.19,2352,2020年01月01日00:00,9.2
﻿马街兴隆,103.23,25.21,1762,2020年01月01日00:00,10.7
﻿九乡,103.38,25.1,1864,2020年01月01日00:00,11.9
﻿竹山村委会,103.08,24.64,2309,2020年01月01日00:00,8.5
﻿十街,102.16,24.57,1356,2020年01月01日00:00,13
﻿浦贝,102.18,24.62,1600,2020年01月01日00:00,12
﻿绿汁,101.96,24.68,1230,2020年01月01日00:00,13.6
﻿铜厂,102.03,24.72,2125,2020年01月01日00:00,8.9
﻿六街,102.23,24.83,1670,2020年01月01日00:00,10.6
﻿小街,102.13,24.86,1810,2020年01月01日00:00,9.5
﻿者拉,101.95,24.54,2080,2020年01月01日00:00,11.3
﻿甸中,102.22,24.41,1644,2020年01月01日00:00,11.6
﻿大龙潭,102.11,24.43,1725,2020年01月01日00:00,10.3
﻿富良棚,102.09,24.31,1910,2020年01月01日00:00,9.9
﻿塔甸,102.16,24.25,1789,2020年01月01日00:00,12.1
﻿东峨,101.87,23.71,775,2020年01月01日00:00,18.4
﻿羊街,102.06,23.44,1852,2020年01月01日00:00,13.4
﻿龙潭,102.17,23.65,1917,2020年01月01日00:00,12.4
﻿青龙厂,102.03,23.76,1411,2020年01月01日00:00,15.2
﻿洼垤,102.28,23.55,1450,2020年01月01日00:00,15.5
﻿那诺,102.12,23.39,1752,2020年01月01日00:00,14.1
﻿羊岔街,101.77,23.67,2148,2020年01月01日00:00,11.1
﻿咪哩,101.85,23.5,1732,2020年01月01日00:00,14.3
﻿红光农场,101.88,23.66,675,2020年01月01日00:00,18.2
﻿大街小白坡,102.76,24.23,1920,2020年01月01日00:00,11
﻿江城桐关,102.79,24.48,1842,2020年01月01日00:00,11.5
﻿江城陈家湾,102.72,24.44,2100,2020年01月01日00:00,10.7
﻿江城白家营,102.75,24.46,1828,2020年01月01日00:00,11.2
﻿江城海门,102.81,24.37,1729,2020年01月01日00:00,13.3
﻿前卫柏池古,102.66,24.34,1883,2020年01月01日00:00,11.3
﻿大街,102.75,24.29,1732,2020年01月01日00:00,13.1
﻿大密腊农气,102.07,24.54,1505,2020年01月01日00:00,14.2
﻿扬武,102.16,23.94,1410,2020年01月01日00:00,15.1
﻿新化,101.86,24.12,1892,2020年01月01日00:00,13.5
﻿桃孔,101.96,24.11,1666,2020年01月01日00:00,13.8
﻿宁河,101.94,23.96,2071,2020年01月01日00:00,11.5
﻿老厂,101.68,24.17,1513,2020年01月01日00:00,13.3
﻿漠沙,101.72,23.85,597,2020年01月01日00:00,18.3
﻿双沟街,101.57,23.72,1947,2020年01月01日00:00,12.3
﻿青树,101.63,23.96,1040,2020年01月01日00:00,17
﻿玉苗农气,102.64,24.44,2038,2020年01月01日00:00,9.5
﻿蓝莓农气,102.89,24.64,1732,2020年01月01日00:00,11.8
﻿下营,102.23,24.39,1620,2020年01月01日00:00,12.4
﻿河西高原特色站,102.65,24.14,1820,2020年01月01日00:00,12
﻿岔河,102.26,24.26,1432,2020年01月01日00:00,11.5
﻿西就,102.15,24.37,1777,2020年01月01日00:00,10.9
﻿云美,102.23,24.34,1750,2020年01月01日00:00,12.1
﻿婀娜,102,24.24,1804,2020年01月01日00:00,13.3
﻿亚尼,102.06,24.19,1445,2020年01月01日00:00,11.5
﻿化念,102.2,24.06,1065,2020年01月01日00:00,14.9
﻿水车田,102.56,24.09,1457,2020年01月01日00:00,11.6
﻿云茶山庄,102.27,24.15,2171,2020年01月01日00:00,10.6
﻿贾井村,102.5,24.28,1641,2020年01月01日00:00,11.1
﻿安化三家,102.66,24.37,1753,2020年01月01日00:00,10
﻿小凹村,102.89,24.41,1723,2020年01月01日00:00,13.8
﻿竹子,101.99,24.64,2280,2020年01月01日00:00,9.6
﻿三百亩村,102.83,24.49,2050,2020年01月01日00:00,11.4
﻿江城,102.81,24.43,1741,2020年01月01日00:00,12.7
﻿大红山,101.63,24.1,877,2020年01月01日00:00,17.3
﻿褚橙庄园,101.62,24.29,1080,2020年01月01日00:00,16.4
﻿华溪,102.87,24.03,1203,2020年01月01日00:00,15.1
﻿老里箐,102.95,24.32,1880,2020年01月01日00:00,11.2
﻿盘溪,103.12,24.22,1180,2020年01月01日00:00,16.3
﻿戛洒,101.57,24.05,568,2020年01月01日00:00,16.9
﻿者竜,101.36,24.31,1497,2020年01月01日00:00,12.5
﻿甘庄 ,102,23.7,821,2020年01月01日00:00,18.5
﻿元江农场,102.03,23.55,542,2020年01月01日00:00,19.9
﻿春和,102.53,24.4,1646,2020年01月01日00:00,13.3
﻿李棋,102.55,24.39,1648,2020年01月01日00:00,13.4
﻿北城,102.55,24.43,1675,2020年01月01日00:00,13.1
﻿小石桥,102.61,24.44,2088,2020年01月01日00:00,10.7
﻿研和,102.5,24.26,1643,2020年01月01日00:00,12.5
﻿大营街,102.47,24.38,1750,2020年01月01日00:00,11
﻿洛河,102.38,24.31,1836,2020年01月01日00:00,11.1
﻿高仓,102.57,24.28,1857,2020年01月01日00:00,10.9
﻿前卫,102.73,24.33,1657,2020年01月01日00:00,12.4
﻿九溪,102.66,24.28,1762,2020年01月01日00:00,10.8
﻿路居,102.84,24.33,1807,2020年01月01日00:00,12.5
﻿雄关,102.81,24.25,1876,2020年01月01日00:00,11.7
﻿安化,102.67,24.42,1893,2020年01月01日00:00,10.4
﻿龙街,103,24.65,1930,2020年01月01日00:00,13.3
﻿右所,102.98,24.63,1930,2020年01月01日00:00,12.3
﻿九村,102.99,24.68,2047.6,2020年01月01日00:00,11.4
﻿海口,102.94,24.52,1726.1,2020年01月01日00:00,13.7
﻿杨广,102.79,24.14,1819,2020年01月01日00:00,13.2
﻿纳古,102.73,24.18,1827,2020年01月01日00:00,13.2
﻿四街,102.69,24.21,1800,2020年01月01日00:00,12.7
﻿九街,102.69,24.11,1821,2020年01月01日00:00,12.8
﻿河西,102.65,24.14,1826,2020年01月01日00:00,12.6
﻿兴蒙,102.66,24.16,1816,2020年01月01日00:00,12.7
﻿里山,102.75,24.07,1830,2020年01月01日00:00,10.5
﻿高大,102.71,23.99,1427,2020年01月01日00:00,13.1
﻿通红甸,103.07,24.33,1614,2020年01月01日00:00,14.8
﻿黄草坝烤烟,102.44,24.44,1940,2020年01月01日00:00,8
﻿波衣,102.45,24.48,2218,2020年01月01日00:00,9.9
﻿高大烟田,102.71,23.99,1380,2020年01月01日00:00,12.8
﻿前卫烤烟站,102.73,24.34,1728,2020年01月01日00:00,11.7
﻿大村,102.99,24.5,1892,2020年01月01日00:00,12.3
﻿红岩,103.01,24.38,2057,2020年01月01日00:00,11
﻿吉里村,102.91,24.64,1692,2020年01月01日00:00,13
﻿底尼,102.08,24.62,2240,2020年01月01日00:00,7.9
﻿河外,102.2,24.27,1313,2020年01月01日00:00,11.9
﻿兴旺,102.47,24.17,1510,2020年01月01日00:00,11.3
﻿尼鲊,102.07,23.93,1689,2020年01月01日00:00,13.7
﻿新营盘,101.82,24.14,2020,2020年01月01日00:00,12.2
﻿四街四寨,102.69,24.21,1993,2020年01月01日00:00,11.9
﻿赵桅,102.5,24.31,1642,2020年01月01日00:00,11.1
﻿红星村,101.87,24.04,1551,2020年01月01日00:00,15
﻿大木奔,101.95,24.61,1169,2020年01月01日00:00,13.3
﻿柏枝小学,101.55,23.78,1953,2020年01月01日00:00,11.4
﻿马家坝站,101.64,24.25,1612,2020年01月01日00:00,13.7
﻿耀南站,101.54,24,1890,2020年01月01日00:00,11.2
﻿园艺场站,101.78,23.83,489,2020年01月01日00:00,18.6
﻿鱼科站,101.39,24.27,1197,2020年01月01日00:00,14.9
﻿张所,102.18,24.51,1500,2020年01月01日00:00,13.6
﻿向阳站,101.39,24.36,1436,2020年01月01日00:00,13.3
﻿磨味小学,101.64,23.73,1950,2020年01月01日00:00,12.3
﻿罗柴冲小学,101.59,24.19,1519,2020年01月01日00:00,14.1
﻿瓦哨宗,102.11,24.28,1869,2020年01月01日00:00,9.2
﻿现刀站,101.48,24.19,699,2020年01月01日00:00,16.2
﻿建兴,101.64,23.68,2046,2020年01月01日00:00,10.8
﻿邦迈站,101.52,24.1,1012,2020年01月01日00:00,16.8
﻿羊街云海,102.03,23.46,1769,2020年01月01日00:00,13.8
﻿雄关爬地,102.88,24.3,2105,2020年01月01日00:00,11.5
﻿刺桐关交通站,102.56,24.51,1782,2020年01月01日00:00,10.8
﻿小街交通站,102.43,24.18,1593,2020年01月01日00:00,12.2
﻿骆子菁交通站,102.3,24.08,1561,2020年01月01日00:00,14.6
﻿杨武交通站,102.12,23.88,1432,2020年01月01日00:00,14.8
﻿青龙厂,102.04,23.76,1330,2020年01月01日00:00,15.4
﻿元江交通站,101.95,23.63,510,2020年01月01日00:00,20.4
﻿南溪交通站,101.79,23.63,1143,2020年01月01日00:00,15.2
﻿矣文,102.66,24.25,1890,2020年01月01日00:00,12.7
﻿罗台旧,102.26,24.6,1650,2020年01月01日00:00,11.9
﻿里仕,101.99,24.75,2080,2020年01月01日00:00,10.9
﻿狮子山,102.06,24.86,1670,2020年01月01日00:00,11.5
﻿大哨,102.12,23.73,1975,2020年01月01日00:00,13.1
﻿老茶吉,102.27,23.61,1800,2020年01月01日00:00,13.3
﻿浦贵,101.93,23.44,1680,2020年01月01日00:00,15.5
﻿瓦纳,101.89,23.52,1063,2020年01月01日00:00,16.7
﻿新光,101.79,23.72,1037,2020年01月01日00:00,16.8
﻿南洒,102.09,23.51,576,2020年01月01日00:00,19.6
﻿腊品,101.97,24.49,1913,2020年01月01日00:00,12.5
﻿碧多,102.03,24.8,1915,2020年01月01日00:00,12.6
﻿河尾,102.01,24.61,1968,2020年01月01日00:00,12.1
﻿韩所,102.19,24.7,1577,2020年01月01日00:00,11.8
﻿打芒村,102.13,23.38,1530,2020年01月01日00:00,15.1
﻿那诺云海,102.12,23.39,1745,2020年01月01日00:00,13.6
﻿帽天山,102.98,24.66,2029,2020年01月01日00:00,12
﻿丫勒,101.99,24.27,1400,2020年01月01日00:00,16
﻿草坝,103.4,23.52,1290,2020年01月01日00:00,16.9
﻿冷泉,103.38,23.2,1642,2020年01月01日00:00,13.1
﻿三角海水库,103.3,23.56,1281,2020年01月01日00:00,16.1
﻿小龙潭,103.16,23.78,1200,2020年01月01日00:00,16.7
﻿卡房,103.14,23.26,1773,2020年01月01日00:00,11.5
﻿保和,103.05,23.25,1696,2020年01月01日00:00,13.6
﻿白水,103.85,24.65,1827,2020年01月01日00:00,11.3
﻿午街,103.6,24.52,1730,2020年01月01日00:00,12.2
﻿三塘,103.84,24.42,2090,2020年01月01日00:00,11.1
﻿朋普,103.33,23.94,1203,2020年01月01日00:00,16.4
﻿巡检司,103.18,23.96,1084,2020年01月01日00:00,15.5
﻿西三,103.42,24.5,1604,2020年01月01日00:00,10.4
﻿西一,103.27,24.47,2027,2020年01月01日00:00,11.4
﻿牛街,102.44,23.45,1670,2020年01月01日00:00,13.8
﻿龙朋,102.56,23.89,1764,2020年01月01日00:00,11.6
﻿大桥,102.33,23.87,1067,2020年01月01日00:00,15.1
﻿曲江,102.79,23.95,1361,2020年01月01日00:00,13.7
﻿面甸,103,23.47,1340,2020年01月01日00:00,15.3
﻿坡头,102.86,23.38,1779,2020年01月01日00:00,12
﻿芷村,103.54,23.34,1641,2020年01月01日00:00,13.6
﻿鸣鹫,103.78,23.4,2020,2020年01月01日00:00,12.5
﻿期路白,103.53,23.21,1478,2020年01月01日00:00,14.3
﻿老寨,103.78,23.4,2020,2020年01月01日00:00,12.2
﻿西北勒,103.47,23.49,2040,2020年01月01日00:00,11.9
﻿水田,103.33,23.13,1735,2020年01月01日00:00,15.1
﻿新安所,103.43,23.33,1340,2020年01月01日00:00,16.6
﻿雨过铺,103.32,23.46,1300,2020年01月01日00:00,16.3
﻿红河机场,103.34,23.47,1361,2020年01月01日00:00,16.5
﻿鸡街,103.2,23.48,1250,2020年01月01日00:00,16.3
﻿老厂,103.21,23.3,2413,2020年01月01日00:00,9.3
﻿贾沙,103.06,23.35,2063,2020年01月01日00:00,12
﻿大屯,103.27,23.43,1303,2020年01月01日00:00,15
﻿蔓耗,103.35,23.02,200,2020年01月01日00:00,20.8
﻿马者哨,103.42,23.73,1931,2020年01月01日00:00,12.8
﻿碑格,103.58,23.68,1861,2020年01月01日00:00,13.6
﻿灵泉,103.15,23.68,1770,2020年01月01日00:00,12.7
﻿乐白道,103.28,23.83,1170,2020年01月01日00:00,18.6
﻿大庄水库,103.39,23.61,1391.1,2020年01月01日00:00,15.6
﻿中和营,103.64,23.78,1492,2020年01月01日00:00,14.4
﻿金马,103.75,24.63,1773,2020年01月01日00:00,11.8
﻿永宁,103.68,24.37,1601,2020年01月01日00:00,13.3
﻿向阳,103.89,24.49,2029,2020年01月01日00:00,10.9
﻿元阳机场,102.59,23.1,1736,2020年01月01日00:00,13.9
﻿逸圃,103.72,24.47,1780,2020年01月01日00:00,13.1
﻿防汛办,103.95,24.92,1710,2020年01月01日00:00,13.4
﻿板桥河水库,103.7,24.7,1861,2020年01月01日00:00,11.6
﻿新哨,103.45,24.25,1420,2020年01月01日00:00,15.5
﻿东山,103.64,24.27,1984,2020年01月01日00:00,11.4
﻿江边,103.61,24.02,996,2020年01月01日00:00,16.1
﻿五山,103.21,24.17,1751,2020年01月01日00:00,13.4
﻿西二,103.18,24.42,1831,2020年01月01日00:00,13.2
﻿虹溪,103.32,24.15,1476,2020年01月01日00:00,14.6
﻿竹园,103.41,24.11,1176,2020年01月01日00:00,16.6
﻿东风,103.4,24.31,1452,2020年01月01日00:00,14.5
﻿太平水库,103.53,24.45,1583,2020年01月01日00:00,13.2
﻿普雄,103.03,23.52,1925,2020年01月01日00:00,12.1
﻿岔科,103.05,23.88,1350,2020年01月01日00:00,14.4
﻿青龙,102.75,23.56,1401,2020年01月01日00:00,14.1
﻿甸尾,102.71,23.77,1551,2020年01月01日00:00,14.8
﻿盘江,103.13,24.02,1110,2020年01月01日00:00,15.4
﻿李浩寨,102.84,23.84,1725,2020年01月01日00:00,13.8
﻿利民,102.97,23.95,1897,2020年01月01日00:00,13
﻿官厅,102.72,23.37,1700,2020年01月01日00:00,13.2
﻿西庄,102.65,23.57,1350,2020年01月01日00:00,14.9
﻿南庄,102.82,23.73,1410,2020年01月01日00:00,15.2
﻿宝秀,102.58,23.52,1440,2020年01月01日00:00,14
﻿坝心,102.63,23.65,1413,2020年01月01日00:00,14.2
﻿哨冲,102.5,23.98,2000,2020年01月01日00:00,11.1
﻿新城,102.43,23.72,1400,2020年01月01日00:00,13.3
﻿龙武,102.4,24,2066,2020年01月01日00:00,11
﻿异龙,102.47,23.63,1415,2020年01月01日00:00,15.5
﻿分水岭,103.23,22.86,2021,2020年01月01日00:00,12.7
﻿勐拉,103.08,22.67,350,2020年01月01日00:00,20.8
﻿金水河,103.16,22.61,317,2020年01月01日00:00,20.8
﻿者米,102.69,22.78,720,2020年01月01日00:00,18.9
﻿勐桥,103.43,22.9,462,2020年01月01日00:00,19.3
﻿马鞍底,103.51,22.73,1350,2020年01月01日00:00,13.7
﻿老勐,102.8,22.92,511,2020年01月01日00:00,19.4
﻿沙依坡,103.21,22.96,1483,2020年01月01日00:00,13.9
﻿营盘,102.93,22.88,1515,2020年01月01日00:00,15.4
﻿老集寨,102.78,22.85,1387,2020年01月01日00:00,15.7
﻿大寨,103.32,22.92,1358,2020年01月01日00:00,13.7
﻿铜厂,103.04,22.8,1646,2020年01月01日00:00,13.5
﻿龙脖河,103.62,22.82,250,2020年01月01日00:00,20.7
﻿大羊街,102.18,23.37,1758,2020年01月01日00:00,14.7
﻿宝华,102.37,23.29,1683,2020年01月01日00:00,14.7
﻿甲寅,102.42,23.26,1712,2020年01月01日00:00,14.1
﻿阿扎河,102.48,23.18,1849,2020年01月01日00:00,13.6
﻿垤玛,101.98,23.28,1490,2020年01月01日00:00,15.4
﻿架车,102.18,23.22,1756,2020年01月01日00:00,13.9
﻿石头寨,102.5,23.24,1702,2020年01月01日00:00,14.8
﻿洛恩,102.31,23.17,1666,2020年01月01日00:00,14.8
﻿浪堤,102.23,23.31,1850,2020年01月01日00:00,13.9
﻿车古,102.15,23.3,1777,2020年01月01日00:00,14.6
﻿三村,101.87,23.26,1525,2020年01月01日00:00,15.1
﻿乐育,102.33,23.33,1510,2020年01月01日00:00,14.2
﻿大水沟,101.94,22.95,1152,2020年01月01日00:00,17.4
﻿牛孔,102.08,23.01,1080,2020年01月01日00:00,15.8
﻿三猛,102.4,22.89,1431,2020年01月01日00:00,15.9
﻿平河,102.51,22.82,1384,2020年01月01日00:00,16.1
﻿半坡,102.12,22.65,439,2020年01月01日00:00,22.7
﻿骑马坝,102.25,22.82,835,2020年01月01日00:00,18.6
﻿大黑山,101.97,22.85,557,2020年01月01日00:00,18.9
﻿戈奎,102.47,23.1,1496,2020年01月01日00:00,15.2
﻿新华,103.7,23.26,1775,2020年01月01日00:00,12.4
﻿和平,103.78,23.25,1384,2020年01月01日00:00,14.2
﻿新现,103.55,23.14,1437,2020年01月01日00:00,14.7
﻿白云,103.8,23.17,1809,2020年01月01日00:00,12.5
﻿湾塘,103.74,23.1,418,2020年01月01日00:00,20.2
﻿白河,103.88,22.97,822,2020年01月01日00:00,17.7
﻿大围山,103.7,22.92,1915,2020年01月01日00:00,9.8
﻿桥头,104.12,22.86,1103,2020年01月01日00:00,15.7
﻿瑶山,103.73,22.79,869,2020年01月01日00:00,16.1
﻿老范寨,103.89,22.77,228,2020年01月01日00:00,21.2
﻿坝洒中寨一组,103.82,22.67,580,2020年01月01日00:00,18.4
﻿南溪,103.95,22.63,110,2020年01月01日00:00,21.6
﻿莲花滩,103.56,22.89,184,2020年01月01日00:00,21.2
﻿旧城,103.67,24.63,1830,2020年01月01日00:00,12.1
﻿马街,102.67,23.26,1051,2020年01月01日00:00,16.4
﻿逢春岭,103.12,23.02,1263,2020年01月01日00:00,14.3
﻿上新城,102.98,23.07,1600,2020年01月01日00:00,13
﻿嗄娘,102.92,23.11,1732,2020年01月01日00:00,13.4
﻿牛角寨,102.66,23.13,1209,2020年01月01日00:00,16.3
﻿黄茅岭,102.75,23.01,777,2020年01月01日00:00,18.7
﻿云龙,103.25,23.71,1052,2020年01月01日00:00,17.9
﻿小新街,103.02,23,1624,2020年01月01日00:00,12.6
﻿新街镇,102.73,23.15,1635,2020年01月01日00:00,13.5
﻿沙拉托,102.57,23.1,1698,2020年01月01日00:00,13.4
﻿攀枝花,102.72,23.05,1337,2020年01月01日00:00,16
﻿黄草岭,102.67,22.92,956,2020年01月01日00:00,18.2
﻿俄扎,102.57,22.95,1306,2020年01月01日00:00,15.3
﻿大坪,103.08,22.92,1567,2020年01月01日00:00,13.5
﻿蒲缥,99.01,25.01,1360,2020年01月01日00:00,12.4
﻿杨柳,99.03,25.23,2368,2020年01月01日00:00,5.9
﻿瓦渡,99.37,25.1,1892,2020年01月01日00:00,8.6
﻿水寨,99.33,25.25,2292,2020年01月01日00:00,7.7
﻿丙麻,99.37,25.02,1500,2020年01月01日00:00,10.8
﻿西邑,99.27,24.99,1644,2020年01月01日00:00,10.3
﻿瓦房,99.07,25.37,1786,2020年01月01日00:00,9.9
﻿瓦马,98.98,25.57,1740,2020年01月01日00:00,9.9
﻿瓦窑,99.23,25.47,1869,2020年01月01日00:00,7.7
﻿潞江,99.88,24.97,704,2020年01月01日00:00,14.2
﻿芒宽,98.87,25.45,854,2020年01月01日00:00,13.4
﻿板桥北庙,99.21,25.25,1812,2020年01月01日00:00,9
﻿辛街,99.18,25.99,1729,2020年01月01日00:00,10.3
﻿芒柳,98.85,25.13,784,2020年01月01日00:00,14.7
﻿明光,98.59,25.74,2132.5,2020年01月01日00:00,5.7
﻿团田,98.65,24.69,1335,2020年01月01日00:00,12.1
﻿猴桥,98.3,25.27,1735,2020年01月01日00:00,7.5
﻿芒棒,98.67,24.94,1501,2020年01月01日00:00,10.9
﻿滇滩,98.41,25.53,1767,2020年01月01日00:00,7
﻿曲石,98.6,25.23,1541,2020年01月01日00:00,8.6
﻿和顺,98.45,25.02,1596,2020年01月01日00:00,10.6
﻿北海,98.56,25.12,1729.5,2020年01月01日00:00,9.6
﻿马站,98.5,25.21,1911,2020年01月01日00:00,7.3
﻿中和,98.4,25.07,1443,2020年01月01日00:00,9.9
﻿荷花,98.4,24.98,1313,2020年01月01日00:00,10.9
﻿五合,98.67,24.87,1360,2020年01月01日00:00,10.3
﻿蒲川,98.57,24.72,1386,2020年01月01日00:00,11.3
﻿勐糯,99.03,24.3,789,2020年01月01日00:00,14.5
﻿象达,98.72,24.45,1659,2020年01月01日00:00,9.4
﻿龙新,98.82,24.57,1868.9,2020年01月01日00:00,7.8
﻿镇安,98.83,24.69,1815,2020年01月01日00:00,8.9
﻿龙江,98.67,24.76,1348,2020年01月01日00:00,11.5
﻿木城,98.92,24.2,1268,2020年01月01日00:00,13.2
﻿平达,98.93,24.33,1591,2020年01月01日00:00,9.8
﻿腊勐,98.9,24.73,1925,2020年01月01日00:00,9.8
﻿碧寨,99.03,24.56,714,2020年01月01日00:00,15.6
﻿固东,98.49,25.36,1707,2020年01月01日00:00,8.9
﻿湾甸,99.35,24.54,713,2020年01月01日00:00,15.2
﻿耇街,99.8,24.99,2146,2020年01月01日00:00,10.7
﻿卡斯,99.41,24.8,934,2020年01月01日00:00,14.1
﻿珠街,99.93,25.04,1826,2020年01月01日00:00,10.5
﻿柯街,99.45,24.88,1122,2020年01月01日00:00,13.7
﻿大田坝,99.53,25.05,1783,2020年01月01日00:00,10.7
﻿更戛,99.52,24.46,1701,2020年01月01日00:00,9.5
﻿勐统,99.64,24.52,1129,2020年01月01日00:00,12.6
﻿鸡飞,99.47,24.73,1050,2020年01月01日00:00,12.5
﻿翁堵,99.55,24.71,1457,2020年01月01日00:00,10.9
﻿漭水,99.7,24.91,1720,2020年01月01日00:00,9.7
﻿温泉,99.67,24.69,1907,2020年01月01日00:00,10.4
﻿旧城,99.23,24.42,730,2020年01月01日00:00,15.1
﻿姚关,99.24,24.59,1845,2020年01月01日00:00,9
﻿老麦,99.25,24.88,2042,2020年01月01日00:00,7.9
﻿酒房,99.13,24.47,1908,2020年01月01日00:00,8.3
﻿太平,99.03,24.82,1845,2020年01月01日00:00,8.5
﻿水长,99.07,24.92,1603,2020年01月01日00:00,11.5
﻿仁和保场,99.17,24.82,1507,2020年01月01日00:00,11.7
﻿何元,99.12,24.68,1775,2020年01月01日00:00,10.5
﻿木老元,99.32,24.72,1760,2020年01月01日00:00,11.2
﻿万兴中山,99.13,24.58,2054,2020年01月01日00:00,9.4
﻿林家铺子,98.7,25.29,2165,2020年01月01日00:00,6.9
﻿清水热海,98.44,24.95,1444,2020年01月01日00:00,10.5
﻿银杏村,98.52,25.31,1786,2020年01月01日00:00,8
﻿祥瑞选厂,98.55,25.79,2246,2020年01月01日00:00,5.5
﻿界头机场,98.67,25.45,1703.6,2020年01月01日00:00,8.3
﻿大海乡,103.15,26.14,3532,2020年01月01日00:00,3.9
﻿迤车镇,103.51,26.81,1766,2020年01月01日00:00,11
﻿马路乡,103.65,26.92,2118,2020年01月01日00:00,8.8
﻿大井镇,103.49,26.28,2049,2020年01月01日00:00,8.2
﻿者海,103.62,26.56,2012,2020年01月01日00:00,8.7
﻿乐业镇,103.55,26.72,1835,2020年01月01日00:00,9.7
﻿大桥乡,103.34,26.68,2495,2020年01月01日00:00,7.1
﻿娜姑镇,103.15,26.52,2022,2020年01月01日00:00,11.4
﻿雨碌乡,103.59,26.37,2253,2020年01月01日00:00,8.3
